Rank	Ligand	SMILES	Binding Affinity (kcal/mol)	CNNscore	CNNaffinity
77	Z3333528027	O=C(OCC=1C=CC=CC1)N2CCN(CC2)C=3C=CC4=NN=C(C=5C=CC=C(F)C5)N4N3	-10.57	0.821547	8.019929
78	Z4120246167	CC=1NN=C(C1C(=O)NCCC2=NC(=NN2)C=3C=CC=CC3)C(F)(F)F	-10.56	0.943717	8.138616
79	Z2301403138	O=C(O)C1(CCOCC1)C(=O)NC=2C=CC=C(C2)OC=3C=CC=CC3	-10.56	0.665320	7.150853
80	Z1657364568	N#CC=1C(F)=CC=CC1OC=2C=CC(=CC2)C(=O)N3CC4CCC(O)C4C3	-10.56	0.945021	7.917027
81	Z237846630	O=C(NC=1C=CC=CC1)NC=2C=CC=C(C2)NS(=O)(=O)C=3C=CC=CC3	-10.56	0.835211	7.870976
82	Z803256634	O=C1C=CC(=NN1CC2=NC(=NO2)C=3C=CC=CC3)C=4C=CC=CC4	-10.56	0.723010	7.605070
83	Z2660233587	CC=1C=CC(=CC1C(=O)N2CCOCC2)NC(=O)C3=CC(F)=CN=C3O	-10.55	0.658243	7.367514
84	Z2761519371	CN1C=NN=C1[C@@H]2C[C@@H](O)[C@@H](CNC3=NC=4C(F)=CC=CC4O3)C2	-10.55	0.902343	8.001240
85	Z1419257424	O=C(NCC=1C=CC(=CC1)OCC=2C=CC=C(F)C2)C3CCNC(=O)C3	-10.55	0.790963	7.314969
86	Z738826054	CC1CCCCN1C(=O)C=2C=CC(=CC2)NC(=O)C3=CC=CC=C3Cl	-10.55	0.879173	7.668179
87	Z4500949709	O=C(CC=1C=CC=C2N=CC=CC12)NC=3C=C(NN3)C=4C=C(F)C=C(F)C4	-10.55	0.913761	8.036538
88	Z1783713123	O=C(NC=1C=CC(=CC1)C2=NC(=NN2)C3CC3)C=4C=CC=C5N=NNC45	-10.55	0.954201	8.058071
89	Z2976155549	CCC=1N=CN=C(C1F)N2CC(C2)C3=NC(=NO3)C=4C=CC=CC4	-10.53	0.726914	7.758324
90	Z4281884659	CN(CC(N)=O)C(=O)C=1C=CC=C(C1)NC(=O)C=2C=CC=3N=CN(C)C3N2	-10.53	0.938743	7.924091
91	Z1385377331	[O-][N+](=O)C=1C=CC=C(C1)C=2C=C(NS(=O)(=O)C3=CC4=CC=CC=C4CC3)NN2	-10.53	0.849485	8.020191
92	Z2230613818	NC(=O)CCNC(=O)C=1C=CC(=CC1)NC(=O)C2=CSC(=N2)NC=3C=CC=CN3	-10.53	0.987503	8.406479
93	Z3687013962	O=C(N[C@@H]1CC(CN2C=CC=N2)C[C@H]1O)C3=NNC=4C=CC(F)=CC34 |&1:3,13,r|	-10.53	0.989969	7.985250
94	Z1418835506	CC1CCCN(CC=2C=CC(=CC2)NC(=O)C=3C=CNC(=O)C3)C1	-10.53	0.914303	7.446310
95	Z1956080983	NC=1N=CC=NC1C(=O)NCC=2C=CC=C(C2)N3C=CC(=N3)C(=O)O	-10.52	0.935073	7.639796
96	Z370880254	O=C(O)C=1C=CC(=NC1)C(=O)NC=2C=CC(=CC2)CC=3C=CN=CC3	-10.51	0.933439	7.524147
97	Z1558845277	CC=1C=C(F)C=CC1N2C=C(N=N2)C(=O)NC=3C=CC=C(C3)C4=NN=CN4C	-10.51	0.867363	8.261375
98	Z1974498722	CCOC=1C=CC=C(C1)[C@@H]2C[C@H]2NC(=O)CC=3C=CC(=CC3)N4C=NN=N4	-10.51	0.984424	8.353560
99	Z85526543	O=C(NC=1C=CC=CN1)C2=CC=C(O2)C=3C=CC=C(C3)C(F)(F)F	-10.51	0.698309	7.315747
100	Z4650034059	CC(C)C1=CON=C1C(=O)N2CC(C2)OCC3=CC=CC4=CC=CC=C34	-10.51	0.696748	7.509493
101	Z2151287460	CC=1C=CC=2CCC[C@H](NC(=O)NC=3C=C4CCCCN4N3)C2C1	-10.51	0.794914	7.668488
102	Z3464816588	COC=1C=CC(=CC1)C=2C=C(CNC3=NC=4C=CC=C(C)C4O3)ON2	-10.50	0.781590	7.513988
103	Z767226226	CC=1C=CC(=CC1NC(=O)C2=NNC=3C=CC(=CC23)[N+]([O-])=O)NC(=O)C4CC4	-10.50	0.979539	8.503058
104	Z1991861549	CC=1C=CC=2NC(=CC2C1C)C(=O)NC=3C=NN(C3)C(C)(C)C(=O)O	-10.50	0.954293	7.911211
105	Z1761204954	O=C(C1CCC=2C=CC=CC21)N3CCC(C3)NC=4C=CC5=NC=CN5N4	-10.50	0.940411	8.059269
106	Z1141052076	CC(C)C1=NN=C2CN(CCC3=NC=4C=CC=CC4C(=O)N3)CCN12	-10.48	0.764357	8.004034
107	Z19039989	FC(F)(F)C=1C=CC=C(C1)C=2N=NN(CC3=NC=4C=CC=CC4S3)N2	-10.48	0.914577	8.192595
108	Z1772028790	CC=1C=CC(F)=C(C1)C=2C=C(NC(=O)C=3C=CC(=CC3)NC(N)=O)NN2	-10.47	0.963793	7.756034
109	Z2270119470	CC=1C=C(N=C(C)N1)N2CCC(CC2)NC(=O)C=3C=CC=4OC(F)(F)OC4C3	-10.47	0.903741	7.730794
110	Z1437212190	O=C(C1=CC(=NN1)C=2C=CC=CC2F)N3CCCC(C3)C4=NN=C5C=CC=CN45	-10.46	0.930123	8.499922
111	Z1625634977	O=C(C1=CC=2C(F)=CC=CC2N1)N3CC=C(C3)C=4C=CC(F)=CC4	-10.46	0.971174	8.015689
112	Z1275190485	CNC(=O)C=1C=CC=C(C1)C(=O)NC2=NC(=C(C)S2)C=3C=CC=4CCCC4C3	-10.46	0.898286	8.065530
113	Z1663082939	CN1C=NC(=N1)C=2C=CC(=CC2)NC(=O)C=3C=CC=C(C3)NC(N)=O	-10.46	0.963497	7.457816
114	Z1829149935	CC(NC(=O)N1CCC(CC1)OC=2C=CC(F)=CC2F)C3=NC=NN3C	-10.45	0.893991	7.989119
115	Z212966252	COCCN1N=C(C=CC1=O)C(=O)NC2=NC=C(CC=3C=CC=C(C3)C(F)(F)F)S2	-10.45	0.928335	8.360890
116	Z318695644	NC(=O)C=1C=C(C=CC1Cl)NC(=O)C=2C=CC(=CC2)NS(=O)(=O)C=3C=CC=CC3	-10.45	0.955910	8.206055
117	Z218285220	COC=1C=CC(=CC1OC)C(=O)NC2=NC(=CS2)C=3C=CC=4OCCC4C3	-10.44	0.755867	7.710085
118	Z318397580	CS(=O)(=O)NC=1C=CC=C(C1)NC(=O)C2=CC=C3CCCCC3=C2	-10.44	0.893202	7.700053
119	Z2109458031	CN1C(=O)CCC1C(=O)NCC=2C=CC(=CC2)OCC=3C=CC=C(F)C3	-10.44	0.804319	7.309024
120	Z1612499808	CC1=CC=CN2C=C(N=C12)C=3C=CC(=CC3)NC(C)C4=CC=CN=C4	-10.44	0.959139	8.202374
121	Z1160937246	O=C(NC=1C=CC(F)=CC1F)C2=CSC(=N2)C=3C=CC=4OCCOC4C3	-10.44	0.888440	7.980646
122	Z16108878	CC(OC=1C=CC=2C=CC(=O)OC2C1)C(=O)N3CCC=4C=CC=CC43	-10.43	0.713955	7.257072
123	Z1121634571	O=C(NC=1C=CC=C(C1)C2=NOC(=O)N2)C=3C=NN(C3)C4=CC=CC=C4F	-10.43	0.860747	7.801888
124	Z1928109409	O=C(NC1CCCC1)N2CCCC(C2)C(=O)N3CCCC4=NNC=C43	-10.43	0.948354	8.151312
125	Z3377684242	O=C(NC1C[C@H](O)[C@H](O)C1)C=2C=C(C=CN2)C=3C=NC=4NC=CC4C3	-10.43	0.812877	7.327011
126	Z19025349	O=C(CN1C(=O)C=NC=2C=CC=CC21)NC=3C=CC=C(C3)S(=O)(=O)N4CCOCC4	-10.43	0.618152	7.616687
127	Z1970378029	CC1=CC=C(O1)C=2C=CC(C)=C(C2)NC(=O)N[C@H]3CC[C@H](O)CC3	-10.43	0.838380	7.552610
128	Z4449685754	CN(CC(=O)NC=1C=CC=2NC(=O)NC2C1)CC=3C=CC=4C=NC=CC4C3	-10.42	0.965025	7.662190
129	Z1323778383	O=C(NCCC1=NN=C(O1)C=2C=CC=CC2)C=3C=CC=C(C3)C(F)(F)F	-10.42	0.790643	7.571059
130	Z2910915434	CC1=C(C=NN1C2=CC=CC(=C2)NC(=O)[C@H]3OC[C@H]4CCC[C@@H]34)C(=O)O |&1:15,18,22,r|	-10.41	0.815758	7.597693
131	Z2968939643	C=1C=CC(=NC1)NCC2CCN(C2)C3=NC=4C=CC=CC4N5N=NN=C35	-10.41	0.489149	8.239859
132	Z3483536005	CC1(CCCCO1)C2=NOC(CCCOC=3C=CC=C4C=CC=CC34)=N2	-10.41	0.832016	7.718516
133	Z3325175575	CC=1C=CC=C2N=C(N[C@@H]3CCN(C3)C(=O)C4=CN=C5CCCCN45)OC12	-10.41	0.931721	8.254763
134	Z1412914395	O=C(NC=1C=CN=C(C1)OC=2C=CC=CC2)C(=O)NC3CCC=4C=NNC4C3	-10.41	0.973198	8.043693
135	Z2795226912	O=C(O)C(C1CC1)N2CCC=3C(=CC=CC3C2)NC(=O)NC=4C=CC=CC4F	-10.41	0.883759	7.945382
136	Z1413835799	CC1=CC(=O)NC=C1C(=O)NC=2C=CC(=CC2)CC3=NC4=CC=CC=C4S3	-10.41	0.912362	8.016854
