Rank	Ligand	SMILES	gnina_affinity_min	CNNpose_score_max	CNNaffinity_min
16101	Z3343298231	O=C(NCC1(CCC1)C=2C(F)=CC=CC2F)C=3N=CN=C4NC=NC34	-7.955990	0.141310	5.774360
16102	Z2400300544	COC1CCCCN(CC(=O)NCC=2C=CC=C(C2)CO)C1=O	-2.424770	0.141280	3.635600
16103	Z369418032	CC(C)C1=NC=2C=C(C=CC2O1)NC3CCCCNC3=O	-4.008800	0.141270	3.719210
16104	Z2476309322	CCCNC(=O)C(C)NC(=O)NCC=1C=CC=C(C1)OC2=CC=CC=C2F	-4.280910	0.141250	5.740320
16105	Z2056177164	NC(=O)C1CCCN(C1)C(=O)NC=2C=CC=C(C2)N3C=CN=N3	-6.499440	0.141230	5.495730
16106	Z2053175848	CCC1=NN=C(CN2CCCC(C2)C3=NC(=CN3C)C(F)(F)F)O1	-4.985000	0.141120	4.837470
16107	Z358327764	O=C(NCC=1C=CC=NC1)C2CCN(CC2)C(=O)C3=CC=CC(=C3)C(F)(F)F	-8.563860	0.141060	5.616130
16108	Z2208434718	CC1=NNC(C)=C1NC(=O)CN2CC[C@H]([C@H]2C)N(C)CCO	-4.989520	0.141050	4.873500
16109	Z1367853743	CN1C(=O)C=2C=CC=CC2N=C1CN3CCSC4CCCCC43	-4.607050	0.141030	5.840500
16110	Z2482963341	CC1(C)COC(CN1CCOCC(=O)O)C=2C=CC=CC2	-4.991490	0.140980	4.742830
16111	Z416093660	CCC(CC)C1=NN=C(NC(=O)N2CCCC2C=3C=CSC3)S1	-4.067860	0.140980	5.649810
16112	Z57387872	CC=1C=CC(=CC1)CN2N=CC=3C(=NC=NC32)N4CCOCC4	-5.606920	0.140960	3.820190
16113	Z410633022	CC1=NN=C(NC(=O)NCC=2C=CC(F)=CC2)S1	-3.708900	0.140940	4.007950
16114	Z2764098380	CC1=NNC(=N1)[C@@H]2CCO[C@@H]2CN(C)C(=O)C3=C(C)ON=C3C4CC4	-4.923050	0.140900	5.613280
16115	Z409997640	CC1CN(CC(C)O1)C(=O)NC=2C=CC=C3CCCCC23	-7.790710	0.140890	5.620790
16116	Z2253248964	CC=1C=C(N=CC1C(N)=O)C(=O)N2CCCC2C3=CC=CS3	-6.148240	0.140880	5.131330
16117	Z2298424150	CC(C)N1CCC(CC1)C(=O)NC2CCCN(C)C=3C=CC=CC32	-6.366110	0.140840	5.075430
16118	Z1739085659	C=CCN(CC(=O)O)S(=O)(=O)C=1C=CC(OC)=C2C=CC=CC12	-6.481660	0.140790	4.907060
16119	Z1759959389	CNC(=O)C1=CC=C(C2CCCCN2CC3=CN4C(C)=CC(C)=NC4=N3)N1C	-6.704910	0.140790	5.966580
16120	Z1619730672	O=C1CCCCN1C2CCCN(CC=3C=CC(=CC3)CO)C2	-6.195390	0.140770	4.748190
16121	Z135626246	O=C(NCC1=NC=2C=CC=CC2N1)C3=CN=CN3C=4C=CC=CC4	-5.061340	0.140750	5.044820
16122	Z53025123	COC=1C=C2CCN(CC2=CC1OC)S(=O)(=O)C=3C=C(C=CC3Cl)C(=O)O	-4.931630	0.140730	5.370280
16123	Z126088386	CC1=CC(=O)N2N=C(CN(CC3=CC=CO3)CC4=CC=CO4)SC2=N1	-4.448850	0.140730	5.775050
16124	Z1445136052	O=C(O)C=1C=CN(N1)C=2C=CC(=CC2)NC(=O)CC3=CSC(=N3)C=4C=CC=NC4	-6.033970	0.140680	5.365050
16125	Z1833654117	CC=1N=C(CC2CC2)SC1C(=O)N3CCOC(C3)C=4C=CC=C(O)C4	-5.068340	0.140610	5.157790
16126	Z2827084096	CC1(C)C(CCN1C(=O)CNC(=O)C2CCCN2)C=3C=CC=C(F)C3	-6.537020	0.140600	5.502500
16127	Z850669564	CC1=CC(=C(O)C(=C1)C(=O)O)S(=O)(=O)NC=2C=CC(Cl)=CC2F	-7.651270	0.140580	5.451930
16128	Z46369860	CN(CC(=O)N1CC(=O)NC2=CC=CC=C21)CC=3C=CC=CC3Cl	-6.308310	0.140530	5.170550
16129	Z1197785179	CC=1C=CC(=NC1)N2CCC(CC2)C3=NC(=NO3)C4=CC=CC=C4Cl	-7.336640	0.140530	6.204930
16130	Z2381800634	CC1=NN(C)C(C)=C1[C@H]2OCC[C@@H]2CNC(=O)CC3CC(F)(F)C3	-2.828820	0.140480	4.359510
16131	Z1764419729	CCN1C(=NC=2C=C(F)C=CC21)NCC3=CNN=C3C4=CC=CN=C4	-7.648930	0.140440	5.979630
16132	Z2187829019	CN(CC=1C=CC(=CC1)S(C)=O)C(=O)NC2COC=3C(F)=CC(F)=CC3C2	-7.947630	0.140380	5.588610
16133	Z29387730	COC=1C=CC=2C(=COC2C1)CC(=O)NC=3C(C)=CC(C)=CC3Cl	-6.178650	0.140360	4.458920
16134	Z56801937	CC(CC=1C=CC=CC1)NC(=O)C2CCC(C)(C(=O)O)C2(C)C	-5.792440	0.140340	5.224620
16135	Z1841001318	CC(C)(C)N1C=C(N=N1)C(=O)N2CC3=CN=NN3CC=4C=CC=CC42	-7.097930	0.140320	5.193890
16136	Z3026367255	C#CCCC1(CCC(=O)NCC=2C=CC(=NC2)N3CCCCC3)N=N1	-5.931700	0.140310	5.786610
16137	Z1893634172	CN1C(=O)SC=2C=C(C=CC=3C=CN=CN3)C=CC21	-5.145230	0.140290	5.273750
16138	Z2643901663	CC1(C)CCC=2NC(=O)C(=CC2C1)C(=O)NCC=3C=CC=4OC=CC4C3	-6.732140	0.140290	6.058110
16139	Z46161055	CN1CCN(CC(=O)NC=2C=CC=C(C2)C(F)(F)F)CC1	-5.706000	0.140270	4.792770
16140	Z194889190	O=C(CN1C(=O)NC(=O)C=2C=CC=CC21)NC3=CC=C(F)C(F)=C3	-7.927690	0.140270	5.826690
