Rank	Ligand	SMILES	VinaAffinity	CNNscore	CNNaffinity
54	Z32329234	O=C(C=1C=CC=C(C1)S(=O)(=O)NC=2C=CC=3OCOC3C2)N4CCC=5C=CC=CC54	-11.07554	0.66994	7.18361
55	Z30173132	O=C(NCC=1C=CC=NC1)C=2C=CC=C(C2)S(=O)(=O)N3CCC4=CC=CC=C4C3	-11.07366	0.61424	7.03345
56	Z1638227386	NC(=O)C=1C=CC=C(C1)NC(=O)N2CCCC(C2)S(=O)(=O)NC=3C=CC=CC3	-11.06622	0.53273	6.72501
57	Z1278544278	CC=1C=CC(=CC1NC(=O)NC2(CC2)C=3C=CC=C(F)C3)N4CCOC4=O	-11.0656	0.56723	6.70881
58	Z1450229653	CC=1C=CC=C(C1)C=2C=NC=C(C2)C(=O)NC=3C=CC=C(C3)OC=4C=NC=CN4	-11.06145	0.64963	7.11685
59	Z1478856439	O=C(NC1CCCN(CC(F)(F)F)C1=O)C=2C=CC=3C=CC=CC3C2O	-11.0517	0.57197	6.45133
60	Z198324568	O=C(NC=1C=CC=CC1O)C=2C=CC=3C(=O)N(C(=O)NC3C2)C=4C=CC=CC4	-11.03236	0.79468	7.32113
61	Z28687983	CN(C(=O)C1=CC=CC=C1NC=2C=CC(F)=CC2)C=3C(=O)NC(=O)N(CC=4C=CC=CC4)C3N	-11.02984	0.30521	7.37729
62	Z30494499	O=C(NC=1C=CC(Cl)=C(C1)S(=O)(=O)N2CCOCC2)C3=CC=CC4=CC=CC=C34	-11.00576	0.37325	6.86139
63	Z109341478	O=C(NC1CCOC=2C=CC=CC21)C3CCCN(C3)C(=O)NC=4C=CC=CC4	-10.9947	0.4008	6.55983
64	Z29184761	O=C(CC1=NNC(=O)C=2C=CC=CC12)N(CC=3C=CC=CC3)C4=NC=5CCCCC5S4	-10.985	0.68254	7.83466
65	Z4499936477	O=C(NCC1=CNC(=O)C=2C=CC=CC12)C3=CC(=O)NC4=CC=C(F)C=C34	-10.98257	0.51706	6.74294
66	Z507535694	O=C(NC1=CC(=CNC1=O)C(F)(F)F)C2=NN(C=3C=CC=CC3F)C=4CCCC24	-10.97923	0.59671	7.14482
67	Z199467166	O=C(O)C=1C=CC=CC1C(=O)NC2=NC(=CS2)C=3C=CC4=CC=CC=C4C3	-10.97561	0.6697	6.95445
68	Z29467371	O=C(NC1=NC(=CS1)C=2C=CC=CN2)C3CCCN(C3)C(=O)C=4C=CC(Cl)=CC4	-10.96705	0.62657	7.06628
69	Z1495064916	O=C(C1=CN=C2CCCCN12)N3CC4CCCCC43C=5C=CC=CC5	-10.96373	0.69129	7.21296
70	Z1865854830	CC=1C=C(C)N(N1)C=2C=CC(=CC2F)NC(=O)N3CCC(CC3)C=4C=CN=CC4	-10.95265	0.32741	6.51029
71	Z118353120	CC(NC(=O)C1CCN(CC1)C(=O)C=2C=CC=C3C=CC=CC23)C=4C=CC(Cl)=CC4	-10.93919	0.48536	7.05325
72	Z224089142	O=C(CCC1=NC=C(O1)C=2C(F)=CC=CC2F)NC3=NC=4C(F)=CC(F)=CC4S3	-10.93837	0.60184	6.96445
73	Z14183817	CC=1C=CC(=CC1Cl)NC(=O)CN2C(=O)NC3(CCC=4C=CC=CC43)C2=O	-10.92373	0.45235	6.92208
74	Z1259962098	CC=1C=C(F)C=CC1N2CCCC(C2)NC(=O)C3=CN=C(S3)C=4C=CN=CC4	-10.91997	0.44352	6.4082
75	Z228127838	CCC=1C=CC(=CC1)CN(CC=2C=CC=NC2)C(=O)C3CC(=O)NC=4C=CC=CC43	-10.91813	0.63643	7.61244
76	Z435097144	CC=1C=CC(=CC1NC(=O)N2CCC=3C=CC=CC3C2)NC(=O)C4CC4	-10.91446	0.60185	6.87771
77	Z1441387078	CC1=NC=2C=C(C=CC2O1)NC(=O)N(C)C3CCN(CC3)C=4C=CC(F)=CC4	-10.91401	0.40208	6.64761
78	Z1571731198	CC1=CC=C(C(=O)N2CC(O)CC2C=3C=C(F)C=CC3F)C(=O)N1	-10.91322	0.57582	6.63632
79	Z1375438148	COC=1C=CC=2CCN(CC2C1)C(=O)NC=3C=CC=CC3C4=NN=CN4C(C)C	-10.91084	0.52557	7.03141
80	Z223100670	CC1=NC(=NO1)C2(CCCCC2)NC(=O)CC=3C=CC(=CC3)C=4C=CC=CC4	-10.9089	0.5262	7.10325
81	Z1870056343	O=C(O)C1CN(CC=2C=CC=CC21)C(=O)C=3C=NC=C4C=CC=CC34	-10.90011	0.3629	6.46914
82	Z367629178	O=C(NCC1CCN(C1)C=2C=CC=CC2)C=3C=C4C=CC=CC4=CC3O	-10.88932	0.4874	6.2172
83	Z374336774	CC1CC=2C=CC=CC2N1C(=O)C3CCCN(C3)C(=O)C4=CC=CC=C4OC(F)F	-10.88572	0.55115	7.30575
84	Z2057217283	CC1=NOC(=N1)C2CN(CCN2C)C(=O)NC=3C=CC(=CC3)C=4N=CN(C)N4	-10.88099	0.54679	6.75421
85	Z1040524498	O=C(NCC1(CCOCC1)C=2C=CC(F)=CC2)NC=3C=CC(=CC3)N4C=CN=N4	-10.87952	0.72856	7.21445
86	Z68195868	C=CCN(C=1C=CC=CC1Cl)S(=O)(=O)C=2C=CC=C(C2)C(=O)NC=3C=CC=CC3O	-10.87079	0.56952	7.24014
87	Z1155274544	CC=1C=CC(=NC1)N(C(=O)C2=CSC(=N2)C=3C=CC=CN3)C4CCCCC4	-10.86987	0.75968	7.46131
88	Z32329022	O=C(C1CCN(CC1)C2=NS(=O)(=O)C=3C=CC=CC23)N4CCC5=CC=CC=C54	-10.86822	0.34779	6.87556
89	Z26527330	CC(=O)NC1=CC=CC(=C1)C(=O)NC=2C=C(C=CC2C)S(=O)(=O)N3CCCCC3	-10.86705	0.57557	6.95224
90	Z1653596247	O=C(C=1C=CC2=NC=CN2C1)N3CCNC(=O)C3C4=CC=CC=C4F	-10.86568	0.75743	6.98899
91	Z31444416	O=C(C1=NNC=2C=CC=CC12)N3CCC=4C=CC=CC4C3	-10.86374	0.8027	6.58758
92	Z14062903	CC=1C=CC(=CC1)C2(C)NC(=O)N(CC(=O)NCC=3C=CC(=CC3)C(=O)O)C2=O	-10.86317	0.5478	6.67132
93	Z340245536	O=C(C1CC(=O)N(C1)C=2C=CC=3OCOC3C2)N(CC=4C=CC=CC4)C=5C=CC=CN5	-10.8618	0.72108	7.54687
94	Z2292997004	CN1C=NN(C1=O)C=2C=CC(=CC2)NC(=O)N3CC4(CCC4)C3C=5C=CC=CC5	-10.85693	0.62763	7.23656
95	Z510464522	O=C(NC=1C=CC(=CC1)CN2CCCC2=O)C3=CC=C(S3)C=4C=CC(F)=CC4	-10.85649	0.57876	6.73417
96	Z98630629	NC(=O)C=1C=CC=C(C1)NC(=O)C2CCCN(C2)C3=NS(=O)(=O)C=4C=CC=CC34	-10.8556	0.53323	6.95535
97	Z594980636	CCC(=O)N1CCCCC1C(=O)NC=2C=CC=C(C2)NC(=O)NC=3C=CC=CC3	-10.85431	0.73357	7.06986
98	Z2416028192	CN1CCN(CC1C2=NC(=NO2)C3CC3)C(=O)NC=4C=CC=5C=CNC(=O)C5C4	-10.85349	0.47408	6.70455
99	Z2732438975	CC=1C=CC2=C(C1)[C@@H]3CN(C)CC[C@@H]3N2C(=O)C4=CC=C(O)C(F)=C4	-10.84867	0.5421	7.0306
100	Z26548473	COC=1C=CC(=CC1)N(C)S(=O)(=O)C=2C=CC=C(C2)C(=O)NC3=CC=CC(C#N)=C3	-10.84816	0.67712	7.34853
101	Z1426804817	CC1=COC(=N1)C=2C=CC(C)=C(C2)NC(=O)N3CCC(C3)OC4=CC=CN=C4	-10.84754	0.59809	7.03134
102	Z183978526	CC=1C=CC=C(C1)NS(=O)(=O)C=2C=C(C=CC2C)C(=O)NC=3N=CC=CC3C	-10.84643	0.69767	7.2249
103	Z1146638061	CC=1C=CC=CC1C2CCN(CC2)C(=O)NC=3C=CC(=CC3)N4C=CN=N4	-10.84418	0.49136	6.64238
104	Z1444342177	O=C(O)C1CC=2C=CC=CC2CN1C(=O)CN3N=CC(=O)C=4C=CC=CC43	-10.82746	0.45316	6.74008
105	Z218289152	O=C(NC1=NC(=CS1)C=2C=CC=3OCCC3C2)C4=NNC5=CC=CC=C45	-10.82718	0.60346	6.65138
106	Z106538454	CC=1C=CC(=CC1)C(NCC(=O)NC=2C=CC(=CC2)N3CCCC3=O)C4=CC=CS4	-10.8144	0.66287	7.1155
