Rank	Ligand	SMILES	Binding Affinity (kcal/mol)	CNNscore	CNNaffinity
9307	Z1217488487	CC1=CC=C(O1)C2CCCN2C(=O)C3=NN(C=4C=CC=CC4)C=5CCCC35	-3.70	0.709271	7.730085
9308	Z4449237858	Cl.CC1=CC=C(CNC(=O)[C@H]2CC=3C=CC=CC3CN2)O1	-3.70	0.419050	6.204090
9309	Z1784294075	O=C(C(O)C1CCCCC1)N2CCSC3(CCOCC3)C2	-3.69	0.634683	6.024025
9310	Z1453015175	CCC1CN(CCC1C=2C=CC=CC2)C(=O)NC3CCOC4(CCOCC4)C3	-3.68	0.490908	7.435696
9311	Z1612204939	O=C1C=C(CN2CCN3C=CC=C3C2C=4C=CC=CC4)C5=CC=C(O)C=C5O1	-3.68	0.562462	7.811451
9312	Z1831787580	C=CCC=1C=CC=C(C1NC(=O)N2CCN3CCOCC3C2)C(C)C	-3.68	0.373575	6.981718
9313	Z2274100843	O=S1(=O)CCC2(C1)CCCN(C2)C=3C=CN=C4C=C(Cl)C=CC34	-3.68	0.583788	7.270907
9314	Z2256286401	CC(=O)N1CCC2=CC=CC=C2C1CC(=O)NC(C(=O)O)C3=CC=CS3	-3.67	0.603642	6.796862
9315	Z1631661680	CC(=O)NC=1C=CC=CC1CN2CC(CC=3C=CC=CC32)NC(C)=O	-3.66	0.927631	7.335208
9316	Z1623208605	CN1CCC2C(CCCN2C(=O)NCC3CCS(=O)(=O)CC3)C1	-3.66	0.610562	6.846243
9317	Z2058123311	CC1=NOC(=N1)[C@@H]2[C@@H](C)OCCN2CC3=NC=NN3C=4C=CC=CC4	-3.65	0.523794	7.049242
9318	Z1203273196	COC=1C=CC(=CC1OC)C(=O)N(CC2CCCO2)C=3C=CN=CC3	-3.65	0.884774	6.832144
9319	Z1412310753	O=C(NC1CCC=2C=NNC2C1)N3CCCC3C=4C=CC(Br)=CC4	-3.64	0.686378	7.519025
9320	Z1602203268	CCC1=NOC(C)=C1C(=O)N2CCN([C@@H](C)C2)S(C)(=O)=O	-3.64	0.437393	6.443948
9321	Z2182805801	CCN1C(=NN=C1N2CC3(CCC3)C=4C=CC=CC42)C5COCCO5	-3.64	0.328694	7.073515
9322	Z2234062234	CC(C)N(C=1C=CC=CC1)S(=O)(=O)C=2C=NN3CCCOC23	-3.64	0.537673	6.839312
9323	Z1102778729	O=C(C1=CC(=NN1C=2C=CC=CC2)C3CC3)N4CCCC(C4)N5C=CN=C5	-3.63	0.725813	7.406019
9324	Z1551534605	CN(C)C=1C=CC(=CN1)C(=O)N2CC(O)CC2C3=CC=C(F)C(F)=C3	-3.63	0.610435	6.842878
9325	Z2039589769	FC=1C=CC(=CC1)C2(CNC(C3=NN=CN3)C=4C=CC=NC4)CCCCC2	-3.62	0.692320	7.378843
9326	Z1416114271	COCC=1C=C(N=C(N1)C(C)(C)C)NC(CN2CCOCC2)C=3C=CC=CC3	-3.62	0.544644	6.908367
9327	Z226772200	CC1=NN=C(N1)SCC2=NC=3C=CC=CC3C(=O)N2C=4C=CC(F)=CC4	-3.61	0.588519	7.435991
9328	Z1297059418	O=C(O)C=1C=CC(=CN1)C(=O)N2CCNC(=O)C2C3=CC=CS3	-3.60	0.560012	6.285359
9329	Z1929421062	COC=1C=CC=C(C1)C2(CCCC2)C(=O)N3CCCC4(C3)NC(=O)NC4=O	-3.60	0.689212	7.386525
