Rank	Ligand	SMILES	CNN_affinity	CNN_score
61	Z220422688	CCC(C)C=1C=CC(=CC1)C(NC=2C=CC3=NN=NN3N2)C4=CC=CS4	7.49135	0.48523
62	Z739541302	CC=1C=CC(=CC1NCC2=NC(=NO2)C=3C=CC=CC3C)N4C=NN=N4	7.49084	0.72296
63	Z28561452	O=C(C1=CC=C(COC=2C=CC=CC2)O1)N3CCCC(C3)C4=NC=5C=CC=CC5S4	7.49011	0.59796
64	Z4774554618	O=C(C1=CC=NN1CCC=2C=CC=CC2)N3CCN(CC4CC4)C=5C=CC=CC53	7.48906	0.49939
65	Z3686641766	CN(C)C[C@H]1C[C@@H](O)CN1C=2C=C(N=CN2)NCC=3C=CN(N3)C=4C=CC=CC4	7.48721	0.68986
66	Z215337950	CC(C)CN1C=NC2=C1C(=O)N(CC=3C=CC(C#N)=CC3F)C(=O)N2CC(C)C	7.48627	0.64468
67	Z20246045	O=C(CSC=1N=CN=C2SC=C(C=3C=CC=CC3)C12)NC4=CC=CC=C4C(F)(F)F	7.48598	0.52858
68	Z220595036	O=C(NCC=1N=CC=C2C=CC=CC12)C=3C=CC(Cl)=C(C3)S(=O)(=O)NCC=4C=CC=CC4	7.48373	0.46444
69	Z92084938	O=C(C(SC=1N=CN=C2C1C=NN2C=3C=CC=CC3)C=4C=CC=CC4)N5CCCC5	7.48331	0.49192
70	Z216242590	CC(SC1=NNC2=NC=3C=CC=CC3N12)C(=O)NCCC=4C=CC=CC4	7.48269	0.75517
71	Z4521681502	CC1=NC=2C(=NC=NC2S1)NCC3CCN(C3)C(=O)C4CC5CC5C4	7.48178	0.74149
72	Z646252528	CC=1C=CC(=NC1)NC(=O)C2CCCN(C2)C=3N=CN=C4C3C=NN4C	7.48172	0.85427
73	Z105382018	CC1=NOC(C)=C1CN2CCN(CC2)C(C=3C=CC(F)=CC3)C=4C=CC(F)=CC4	7.47717	0.52835
74	Z31109588	CC1=NN=C(SC=2N=CN=C3SC=C(C=4C=CC(Cl)=CC4)C23)N1C	7.47666	0.83201
75	Z104291932	CC=1C=CC=CC1C2=NN=C(O2)C=3C=CC(C)=C(C3)S(=O)(=O)NCC=4C=CC=CC4	7.47338	0.57639
76	Z1908277540	C1=CC(=CN=C1)[C@H]2OCC[C@@H]2C3=NC(=NO3)C=4C=CC=C(C4)CN5CCCCC5	7.4703	0.61668
77	Z13683372	CC(SC1=NC=2SC=3CCCCC3C2C(=O)N1)C(=O)NC4=NC=C(Cl)C=C4Cl	7.46625	0.81328
78	Z1213669342	CC(C(=O)NC=1SC=2CCCCC2C1C(=O)NCC3=CC=CN=C3)N4C(=O)C=5C=CC=CC5C4=O	7.46562	0.48013
79	Z126070396	CC1=CC=CN2C(=O)C=C(CN3CCC=4SC=CC4C3C=5C=CC=CC5)N=C12	7.46183	0.48937
80	Z44481846	O=C(NC=1C=CC=C(C1)C(F)(F)F)C(NC=2C=CC=C(C2)CO)C=3C=CC=CC3	7.46156	0.55449
81	Z967655258	CN(C)S(=O)(=O)C=1C=CC(=CC1)C2=NC=3C=CC(=CC3C(=O)N2)C=4C=CC=CC4	7.45973	0.73361
82	Z2060770309	O=C(CC1=CN(N=C1C=2C=CC(F)=CC2)C=3C=CC=CC3)N4CCN5N=CC=C45	7.45758	0.5059
83	Z73475012	CN1N=C(C=CC1=O)C(=O)N(CC=2C=CC=CC2)C3=NC(=CS3)C=4C=CC=CC4Cl	7.45641	0.49891
84	Z251235522	CC1CCN(CC1)C(=O)C=2C=CC=CC2NS(=O)(=O)C=3C=CC=4NC(=O)NC4C3	7.45495	0.56467
85	Z2999787086	CC=1C=CN=C(NC(=O)C=2N=C3C=CC=CC3=CC2C4CC4)C1C5CC5	7.45277	0.65676
86	Z56890525	CC=1C=CC=2N=C(N=C(C)C2C1)NC3=NC(C)=C(CC=4C=CC=CC4)C(=O)N3	7.45212	0.64589
87	Z26779510	CCN(CC=1C=CC=CC1)S(=O)(=O)C=2C=C(C=CC2OC)C(=O)NCC=3C=CC(F)=CC3	7.45149	0.38353
88	Z106850182	CC=1C=CC2=NC(=CC(=O)N2C1)CN3CCC=4SC=CC4C3C5=CC=CS5	7.45	0.57098
89	Z28487251	CC1=NC(=C(CC(=O)NC=2C=CC=C3C=CC=NC23)S1)C=4C=CC(F)=CC4	7.4494	0.62303
90	Z749522760	CN1CCC2(CC1)CC(NC(=O)C=3C=CC=C4C=NNC34)C=5C=CC=CC5O2	7.44623	0.51025
91	Z57068150	CC(C)C=1C=CC(=CC1)C=2C(C#N)=C(N)N=C3SC(C(N)=O)=C(N)C23	7.44416	0.67266
92	Z52073206	CC=1C=CC(C)=C(C1)SC=2N=CC=CC2C(=O)NC3=CC=NN3CC=4C=CC=CN4	7.44355	0.42654
93	Z44490031	O=C(NC=1C=CC(F)=CC1)C(NCC=2C=CC=3OCOC3C2)C=4C=CC=CC4	7.44185	0.64418
94	Z28495745	CCN(CC1=NC=2C=C(Cl)C=CC2C(=O)N1)C(=O)CSC=3N=CN=C4SC=CC34	7.44057	0.45476
95	Z1232342427	CCC1=NN=NN1C=2C=CC=CC2NC(=O)C=3C=CC=C(C3)N4CCCC4=O	7.43995	0.76852
96	Z52347343	O=C(C=1C=CC(=CC1)C(F)(F)F)N(CC2=NN=C(O2)C=3C=CC=CC3Cl)C4CC4	7.43952	0.51316
97	Z335665906	CC=1C=CC(=CC1)C=2N=NN(N2)C(C)C(=O)NC=3C=CC=C4N=CC=CC34	7.43748	0.69509
98	Z227071452	CC1=NOC=2N=C(C=C(C(=O)N3CCC=4SC=CC4C3)C12)C=5C=CC=CC5F	7.43436	0.70512
99	Z247390626	NC(=O)C(SC1=NC2=C(C=NN2C=3C=CC=C(Cl)C3)C(=O)N1)C=4C=CC=CC4	7.43428	0.74572
100	Z28537211	O=C(NC=1C=C(Cl)C=CC1N2C=NC=N2)C=3C=CC=C(C3)S(=O)(=O)N4CCOCC4	7.43301	0.61303
101	Z212252628	CCN(CC1=CC(=NO1)C=2C=CC=CC2)CC3=NC4=CC=CC=C4C(=O)N3	7.4293	0.6796
102	Z3847822200	CN(C(C=1C=CC=CC1)C=2C=CC=CC2Br)S(=O)(=O)C=3C=CC=C(C3)S(C)(=O)=O	7.42766	0.44069
103	Z1498659144	O=C1NC(=O)C=2C=C(C=NC2N1)S(=O)(=O)N3CCCCC3CCCC=4C=CC=CC4	7.42684	0.64447
104	Z24955437	COC=1C=CC(Cl)=CC1C2=NN=C(N2)SCC(=O)NC=3C=CC(=CC3)S(N)(=O)=O	7.42684	0.64031
105	Z424815624	CC=1C=CC2=C(C1)C(=O)N(C)C3=NN=C(COC4=CC=C(Cl)C=C4Cl)N32	7.42679	0.78713
106	Z89386077	CC=1C=CC=C2SC(=NC12)N(CC=3C=CC=CC3)C(=O)CCC4=C(C)NC(=O)C(C#N)=C4C	7.4262	0.4909
107	Z28511435	O=C(CC=1C=CC=CC1F)N(CC2=NC=3C=CC=CC3C(=O)N2)CC4CCCO4	7.4256	0.68539
108	Z1849449239	CCC=1C=C(NN1)C(=O)N2CCCCC2C3=NN=C(O3)C4=CC=CC=C4F	7.42412	0.71933
109	Z151970408	CCNC=1N=C(N=C2C=CC=CC12)SCC(=O)N(C3CCCC3)C4CCS(=O)(=O)C4	7.42385	0.50771
110	Z2299283991	CC1(CC(F)(F)F)CN(C1)C(=O)C(C=2C=CC=CC2)N3C=NC4=CC=CC=C43	7.42234	0.53793
111	Z319081380	O=C(NC=1C=CC=C(C1)NC=2N=CN=C3C2C=NN3C=4C=CC=CC4)C5CC5	7.42125	0.66397
112	Z2691664148	CC(C)C[C@@H]1CN(CC=2C=CC=CC2)C[C@H]1C(=O)N3CCC4=CN=C(N)N=C4C3 |&1:4,15,r|	7.42066	0.55426
113	Z56958321	CCCC1=CC(=O)NC(=N1)SCC(=O)NC2=NC=3C(F)=C(F)C(F)=CC3S2	7.41969	0.84439
114	Z4232200531	CC(=O)OC1(CC1)C(=O)NCC2=CN(N=C2C=3C=CC(F)=CC3)C=4C=CC=CC4	7.41908	0.65506
115	Z27970261	O=C(NC(CC=1C=CC=CC1)C(=O)NC2=NC=3C=CC(F)=CC3S2)C4=CC=CS4	7.41901	0.49921
116	Z1554274755	C=CCNC(=O)C=1C=CC=CC1NC(=O)C2=NN(C=C2C)C=3C=CC=CC3Cl	7.4175	0.70592
117	Z2209267971	CCCC1=NC(C)=C(COC(=O)C=2C=C(N=C3C=CC=CC23)C=4C=CN=CC4)O1	7.41653	0.80659
118	Z105017528	CN(CC1=NC=2C=CC=CC2C(=O)N1CC(N)=O)C3CCCC4=CC=CC=C43	7.4135	0.73909
119	Z30235487	CCOC=1C=CC=CC1N2CCN(CC2)C(=O)C3=NN(CC=4C=CC=CC4)C(=O)C=5C=CC=CC35	7.41322	0.32436
120	Z56806062	COC=1C=CC(=CC1OC)CNCC(=O)NC2=CC(C)=NN2C3=NC(C)=CC(C)=N3	7.41301	0.70345
121	Z18569211	NC(=O)C1=C(NC(=O)COC(=O)C2(CCCC2)C3=CC=CC=C3F)SC=4CCCC14	7.4114	0.6857
122	Z51618927	CC(C)C=1C=CC(=CC1)C=2N=NN(N2)C(C)C(=O)NC=3C=CC=C(C#N)C3	7.41102	0.693
123	Z2160655923	CC1=NOC(C)=C1CC2=NC(=NO2)C3(CCCC3)C=4C=CC(F)=CC4F	7.40903	0.74156
124	Z56974810	O=C(CS(=O)(=O)C=1C=CC(Cl)=CC1)NC=2C=CC(=CC2)C3=NN=C4CCCCCN34	7.40879	0.73633
125	Z296071952	CCC=1SC(=CC1C)C(=O)NCC(=O)N(CC)CC=2C=CC(OC)=C(F)C2	7.4081	0.81853
126	Z108578272	O=C(NCCC1=NC=2C=CC=CC2N1CC=3C=CC(Cl)=C(Cl)C3)C4=CC=CO4	7.40367	0.41136
127	Z1461772150	O=C(NC(CN1CCCC1=O)C=2C=CC=CC2)C3=CC=CC4=NC=CN34	7.4036	0.67404
128	Z19502678	CCOC=1C=CC=CC1N2N=NN=C2SCC(=O)NC3=NC(C)=C(Cl)C=C3Cl	7.40312	0.68503
129	Z295915850	COC=1C=CC(=CN1)NC(=O)C=2C=CC=CC2C3=NC=C(O3)C4=CC=CC=C4F	7.40075	0.63855
130	Z16325693	CNC(=O)CN1C(=O)NC(CC=2C=CC=CC2)(C1=O)C=3C=CC=CC3	7.39956	0.86053
131	Z91980812	CCNC(=O)C(C)SC1=NN=C(C2=CNC=3C=CC=CC23)N1C4=CC=CC=C4C	7.39561	0.46375
132	Z224669120	CCN1N=CC=2C(=CC(=NC21)C3=CC=CS3)C(=O)NC4=NC=5CCN(C)CC5S4	7.39462	0.62612
