Rank	LigandID	SMILES	AutoDockAffinity(kcal/mol)	GNINAaffinity(kcal/mol)	CNNscore
13065	Z56793604	N#CC1=C(NC(=O)C2=CC=CS2)N(CCCO)C3=NC=4C=CC=CC4N=C13	-4.870000	5.886500	0.220250
13066	Z2960766922	O=C(NC(CO)C1CCC1)C=2C=C(C=CN2)C=3C=CC=CC3	-5.610000	5.340050	0.220180
13067	Z4636550400	CCN1CCC(NC(=O)CC2=CC=C(N=C2)C(N)=O)C(C)C1	-5.310000	4.321390	0.220100
13068	Z1101651534	CCOC1=CN(N=C1C(=O)NC2=NN=C3C=CC=CN23)C=4C=CC=CC4	-5.700000	5.885630	0.220070
13069	Z212746308	O=C(NC1CCN(CC1)C(=O)C2=CNN=C2C=3C=CC=CC3)C=4C=CC=CC4	-6.860000	6.157600	0.220030
13070	Z1412908579	O=C(NC=1C=CC=CC1SC=2C=CC=CC2)C(=O)NC3CCC=4C=NNC4C3	-5.630000	5.728690	0.220010
13071	Z1528260976	CN1C=NC(=C1)C(=O)NC2CCCN(CC=3C(F)=CC=CC3F)C2	-4.820000	5.344440	0.219970
13072	Z1839190543	COC(=O)C=1C=C(NC(=O)NCC=C(C)C)C(F)=CC1F	-4.570000	5.386810	0.219930
13073	Z1459295068	Cl.O=C(CC1CCNCC1)NC=2C=NN(C2)CC3CC3	-5.450000	4.578620	0.219920
13074	Z2353379083	CN(CC(=O)O)C1CCCN(CC1)C(=O)NCC2CCCCCC2	-0.480000	5.128430	0.219920
13075	Z2446781419	CNC1CCN(CC1)C(=O)C2=CC(=CC=C2Cl)N3CCNC3=O	-5.930000	6.418240	0.219890
13076	Z3063426945	N/A	-6.590000	6.228910	0.219880
13077	Z1684526346	CC1=CC(=NN1)C2=NC(=NO2)C=3C=CC(=NC3)OCC4CC4	-5.530000	5.445400	0.219860
13078	Z646614702	CC1=CC(C)=NC(=N1)N2CCCN(CC2)C=3C=CC(F)=CC3	-3.120000	5.081330	0.219840
13079	Z1932810458	CN1C=C(NC(=O)CC2=CC=CC(Cl)=C2Cl)C(=O)N(C)C1=O	-5.310000	5.921670	0.219810
13080	Z1118828095	CC=1C=C(C=CC1C(N)=O)NC(=O)C2=CC=C(O2)C3=CC=CC=C3Cl	-6.940000	5.819530	0.219790
13081	Z368220628	O=C(C=1C=C(NN1)C=2C=CC(F)=CC2)N3CCCC3C4=NN=C5C=CC=CN45	-6.140000	6.541860	0.219790
13082	Z731735266	CC1=NC=C(O1)C=2C=CC(=CC2)NC(=O)C=3C=CC(=CC3)C4=CN=CO4	-4.740000	5.632370	0.219790
13083	Z1443748421	O=C(O)CC(NC(=O)C1=CC(=CC=C1Cl)N2CCNC2=O)C3=CC=CS3	-5.410000	4.937560	0.219780
13084	Z1886313698	CC=1C=CC(=CN1)OC2CCN(C2)C(=O)CN(C)C	-4.600000	4.795110	0.219760
13085	Z370868782	COC=1C=CC(=CC1)C(NC(=O)CCC=2C(=O)NC3=C(C(C)=NN3C)C2C)C4CC4	-5.530000	6.238490	0.219720
13086	Z1508732275	O=C(C=1C=COC1)N2CC(O)CC2C=3C=CC=C(C3)C(F)(F)F	-4.690000	5.392930	0.219710
13087	Z908076900	CC1=NC=CN1CCCNC(=O)C2=CC=C(NC2=O)C3=CC=CO3	-4.750000	5.808570	0.219710
13088	Z4335748666	CC=1C=C(C)N(N1)C=2C=CC(=CC2)NC(=O)C3=NN4C=CC=NC4=C3Cl	-5.510000	5.976600	0.219680
13089	Z384168110	CC=1C=CC=C(C(=O)NCC=2C=CC(=CC2)C(=O)N3CCCCC3C)C1O	-6.140000	5.926420	0.219660
13090	Z1180111082	O=C(NC=1C=C(Cl)C=CC1N2CCCCC2)N3CCN4CCCC4C3	-6.120000	5.214930	0.219640
13091	Z1567460529	CC1=C(NC(=O)N2CCCC2C(C)(C)O)C(=O)N(C=3C=CC=CC3)N1C	-5.490000	5.360900	0.219620
13092	Z2792909956	O=C(O)COC=1C=CC(=CC1)C(=O)N2CCOC(CC2)C(F)(F)F	-1.750000	4.160150	0.219610
13093	Z1170081910	CN(C)C(=O)CN1C=C(N=N1)C2=NC(CC=3C=CC=CC3Cl)=NO2	-6.460000	5.865550	0.219590
13094	Z2358916962	CC1=CC(=CC(C)=C1S(=O)(=O)NCC2CCN(C)C2)[N+]([O-])=O	-6.200000	5.279690	0.219570
13095	Z1082133578	CNS(=O)(=O)C=1C=CC=CC1N2CCN(CC2)C(=O)C3CCC3	-6.020000	5.101270	0.219560
13096	Z641636286	[O-][N+](=O)C=1C=CC=C(C1)N2CCN(CC2)S(=O)(=O)C=3C=CC(F)=C(F)C3	-6.080000	5.660600	0.219550
13097	Z2158054068	CCNC(=O)CN(CC)S(=O)(=O)CC1CCCC(F)(F)C1	-4.900000	5.652510	0.219480
13098	Z1011229770	COC=1C=CC=2N=C(NC(=O)N3CCN(CC3)C=4C=CC=NN4)SC2C1	-5.690000	6.201390	0.219470
13099	Z1563983786	CCS(=O)C1CCCCC1NC=2C=C(N=C(C)N2)C=3C=CC=CN3	-6.300000	6.314640	0.219470
13100	Z2755642559	CC1=NN(CCC(=O)O)C(C)=C1NC(=O)C(C)C2CC2	-4.970000	5.616330	0.219470
13101	Z802700300	CN(CC1=NC2=C(C=NN2C)C(=O)N1)C3CCCC3	-5.020000	5.273320	0.219440
13102	Z2010422187	CN(C)S(=O)(=O)NC1=CC=2CCCCC2C=C1C(=O)O	-5.590000	5.597770	0.219400
13103	Z3714956241	CC(O)(CCO)CNC(=O)C=1C=CC=CC1C=2C=CC=CC2	-4.850000	5.186150	0.219390
13104	Z1143264313	O=C(NC=1C=NC=CC1N2C=CC=N2)C3CCCC3	-4.420000	5.338430	0.219380
13105	Z68776667	CC1=CC(Br)=C(C)C=C1SCC(=O)N(C)CC2=NC=3C=CC=CC3C(=O)N2	-6.310000	5.654660	0.219380
13106	Z95737413	O=C(CN1C(=O)CCOC=2C=CC=CC21)N3CCC(CC3)C4=NC=5C=CC=CC5S4	-3.740000	5.717370	0.219320
13107	Z2256270517	CC=1N=C(C=CC1C(=O)O)C(=O)N(CC2=CC=CO2)CC(F)(F)F	-4.540000	5.649870	0.219300
13108	Z1644523971	CCN(CC)C(=O)CCC1CCN(CC1)C(=O)C=2C=CN=CC2	-4.740000	5.978170	0.219270
13109	Z4597491606	CCC=1NC=CC1C(=O)NCC2=NN=C(N2)C3COCCN3C	-5.960000	5.785380	0.219270
13110	Z1985419610	O=C(NC=1C=C(Cl)C(Cl)=CC1F)C2CCOCC2	-5.060000	4.928710	0.219260
13111	Z992946450	COC=1C=CC(=CC1)C(=O)NC2=C(C=3C=CC=CC3)C(=O)C=4C=CC=CC4N2C	-5.110000	6.305680	0.219260
13112	Z872299308	O=S(=O)(C=1C=NN(C1)C=2C=CC=CC2)N3CCOC4=CC=CC=C43	-6.370000	5.684680	0.219250
13113	Z466836610	O=C(CCNC=1N=CC=CN1)NC2=NC=C(CC3=CC=CC(Cl)=C3)S2	-5.690000	6.247840	0.219230
13114	Z193049454	COC=1C=C(C=CC1C)CC(=O)NC(C2=NC=CN2C)C=3C=CC(F)=CC3	-4.700000	5.112090	0.219200
13115	Z1833140113	CCCN1CCN(C(=O)CN2CCCC2=O)C3=CC(F)=CC=C31	-4.620000	5.666470	0.219180
13116	Z1493125096	COC=1C=C(C=CC1C)C2=NOC(CS(=O)(=O)CC3CCCCO3)=N2	-6.340000	5.744760	0.219170
13117	Z1657325668	CC=1C=CC(=CC1)OCC(=O)N2CCC(CC2)C3CCOC3	-5.870000	5.099370	0.219130
13118	Z1627056025	CCNC(=O)N1CCCC1C=CC=2C=CC=CC2	-4.610000	4.657470	0.219090
13119	Z1845611161	CC1=CC(Cl)=CC(C)=C1NC(=O)N[C@@H](C)C(=O)N(C)C	-5.050000	4.891750	0.219060
13120	Z410351656	CC1=NC=2C=CC(=CC2S1)NC(=O)NCC(=O)N(C)C	-5.390000	4.706420	0.218990
13121	Z4486522158	CC1=NNC(=N1)C(C)N2CCN(CC2)C(=O)CCC3CCCCCC3	-4.820000	5.701230	0.218980
13122	Z1318899513	COCC(NC(=O)CC1OCCC=2C=CC=CC21)C3=CC=C(C)O3	-4.780000	4.119860	0.218970
13123	Z1939211888	COC=1C=CC(=CC1)C(CNCC2(C)COC2)N3CCOCC3	-4.930000	5.018790	0.218890
13124	Z2212494125	CC1(C)CN(C=2C=CC3=NN=C(C=4C=C(Cl)C=C(Cl)C4)N3N2)C1C=5C=CN=CC5	-6.400000	6.643250	0.218880
13125	Z2017131605	CCCCS(=O)(=O)N1CCC(CNC=2N=CC=CN2)C1	-5.940000	5.212220	0.218830
13126	Z3007454590	N/A	-4.240000	5.232230	0.218820
13127	Z1558497652	CC1=NN(C)C(C)=C1CC(C)C(=O)N2CCCC3=CC=CC(O)=C32	-5.610000	5.883040	0.218780
13128	Z27167286	O=C(NC1=NN=C(S1)C2CC2)C=3C=CC=4NC=NC4C3	-5.870000	5.457310	0.218770
13129	Z274749014	CCC=1C=CC(=CC1)NC(=O)C(=O)NCC(C=2C=CC=CC2)C=3C=CC=CC3	-6.230000	6.135270	0.218760
13130	Z1213700189	CC1CCC2=NOC(NC(=O)C3=CC(=O)C=4C=CC(Br)=CC4O3)=C2C1	-6.560000	5.540660	0.218740
13131	Z1188646680	CC1=CC=C(CC(=O)N2CCN(CC2)C3CCN(C3=O)C=4C=CC=CC4)S1	-6.000000	5.708110	0.218700
13132	Z4743806565	CNC(=O)NCC1CCCCN1C(=O)NCCC2=CC=CC=C2C(F)(F)F	-4.480000	5.230920	0.218640
13133	Z1570999974	CC=1C=CC(C)=C(C1)NC(=O)N2CCN(C(C)C2)C3CCN(C)CC3	-6.370000	5.911880	0.218620
13134	Z2272819291	N#CC=1C=CC=C(N1)NC2CCCN(CC(F)(F)F)C2	-4.010000	5.151820	0.218620
13135	Z27665254	O=C(CN1C(=O)NC2(CCCC2)C1=O)NC3=NC4=CC=CC=C4N3	-5.350000	5.838800	0.218540
13136	Z1952237805	CCOC(=O)NCC(=O)N1CCCN(CC=2C=CC=CC2)C=3C=CC=CC31	-3.930000	5.692240	0.218520
13137	Z285778244	CC1CN(CC(C)O1)C2=CC=C(C=N2)C(=O)N3CCCC3	-5.280000	4.452010	0.218520
13138	Z3016338171	CC(C)CS(=O)(=O)N1CCC(CC2=NC=C(S2)C(=O)O)CC1	-6.420000	5.735600	0.218520
13139	Z2699892343	CC1(CNC=2N=C(N=C3SC=CC23)C=4C=CC=CN4)CCC(=O)N1	-6.690000	6.478820	0.218420
13140	Z30958734	O=C(CN1CCN(CC1)C=2C=CC=CC2)NC=3C=CC=C(F)C3	-5.160000	5.176520	0.218400
13141	Z29459188	O=C(NC1=NC(=CS1)C=2C=CC=NC2)C=3C=CC=C(C3)S(=O)(=O)N4CCOCC4	-6.560000	6.466830	0.218370
13142	Z1264868450	CCOC=1C=CC(NC(=O)C2CC=3C=CC=C(F)C3O2)=C(C1)C(N)=O	-5.250000	4.871820	0.218330
13143	Z2037048366	CC(C)(C)C(O)CN1CC(O)CC1C=2C=CC=C(C2)C(F)(F)F	-4.900000	5.213600	0.218290
13144	Z225725444	CCC1=C(C)SC=2N=C(SCCC(N)=O)N(C=3C=CC(=CC3)OC)C(=O)C12	-5.090000	6.391810	0.218290
13145	Z1651572650	CN(C(=O)C1=CC=CN=C1C2CC2)C=3C=NN(C)C3	-4.540000	5.386040	0.218280
13146	Z218823868	O=C(NC=1C=CC(=CC1)C(=O)NC2CC2)C=3C=CC=C(Cl)C3	-5.870000	4.957480	0.218240
13147	Z2381836595	CN1C=CN=C1[C@@H]2OCCC[C@H]2CNC=3N=C4CCCCC4=CC3C#N	-5.820000	6.148370	0.218200
13148	Z1722957478	CN1C=NC(=N1)C=2C=CC(=CC2)NC(=O)N3CCN(CC3)C4CCOCC4	-5.850000	6.127320	0.218150
13149	Z2074079726	CC(C)OCC1CN(CCO1)C(=O)C=2C=CNC2C3CC3	-5.240000	5.431130	0.218120
13150	Z2045714917	CNC(=O)NC(=O)CN1CCN(CC1C2=NC=CN2C)C(=O)OC(C)(C)C	-4.570000	5.199710	0.218110
13151	Z1890985566	CC1=NN(C)C(C)=C1CC2=NC(=NO2)C3=COC=N3	-4.600000	5.211400	0.218040
13152	Z28183443	COC=1C=CC(Cl)=CC1NC(=O)C=2C=CC=3N=CC=NC3C2	-4.870000	5.722930	0.218010
13153	Z1587667604	CCN1C=NN=C1C2CCCN(C2)C3=C(C#N)C=NC4=C(C)C=C(F)C=C34	-5.020000	6.390450	0.217970
13154	Z4669239992	CC1=CC=C(O1)C=2C=C(NN2)C(=O)N(C)C3CCN(C3)C(=O)C=4C=C(C)OC4C	-6.040000	6.210510	0.217970
13155	Z16318455	CCN(CC)C(=O)COC=1C=CC(=CC1)N(C)S(=O)(=O)C=2C=CC(F)=CC2	-5.580000	5.789120	0.217950
13156	Z1575682952	NC(=O)C=1C=CC(=CC1Cl)NC(=O)N2CCCCC3CCCCC32	-3.680000	4.613660	0.217900
13157	Z2190243038	CC1CCCC(C)N(C1)C(=O)C(=O)NC2=NC=C(S2)C(F)(F)F	-2.780000	5.406770	0.217880
13158	Z167075466	CC=1C=CC=NC1NC(=O)C=2C=CC=C(C2)OCC3=CSC=N3	-5.150000	5.914140	0.217840
13159	Z228169642	CC(C)C1=NN=C(NC(=O)CN2C(=O)N(C)C=3C=CC=CC32)S1	-5.860000	5.688980	0.217840
13160	Z1941857602	CC1=NC=2C=CC(=CC2O1)C(=O)N3CCOC(CN4CCN(C)CC4)C3	-5.880000	5.094170	0.217830
13161	Z54688331	CC1CCC=2C(C#N)=C(NC(=O)CN3N=NC(=N3)C=4C=CC(F)=CC4)SC2C1	-7.120000	6.085730	0.217780
13162	Z91713562	CC=1N=C2C=CC=CC2=NC1CN3C(=O)NC(C)(C3=O)C=4C=C(F)C=CC4F	-5.940000	6.404050	0.217750
13163	Z412996868	CC1=NC=2C=CC(=CC2O1)NC(=O)N3CCC(CC3)C4=NN=CN4C	-5.340000	6.124300	0.217740
13164	Z1423819142	CCCOC=1C=CC=CC1NC(=O)N2CCOC(C2)C3=CC=CS3	-4.820000	5.650200	0.217660
13165	Z27336604	CCOC(=O)C=1SC(=CC1C)NC(=O)C=2C=CC(=CC2)S(=O)(=O)N3CCCC3	-5.930000	5.432720	0.217640
13166	Z402940990	CC(=O)NC1=NC(=CS1)C(=O)N2CCCC(C2)C(N)=O	-5.800000	3.407100	0.217640
13167	Z91798149	NC(=O)C=1C=CC=CC1NC(=O)C=2C=CC=3N=CSC3C2	-5.260000	4.707320	0.217580
13168	Z32015134	CN(C)C(=O)C=1C=CC=C(C1)S(=O)(=O)NC=2C=CC(Br)=CC2	-6.010000	5.602930	0.217570
13169	Z109829112	CNC(=O)C1CN(C(=O)C2=CC=C(O2)C=3C=CC=CC3Cl)C=4C=CC=CC4O1	-6.120000	4.477280	0.217550
13170	Z1357396252	COC=1C=CC(=CC1S(=O)(=O)NC2=CN(C)C(=O)C=C2C)CC(=O)O	-5.770000	5.420850	0.217550
13171	Z1591031113	CCC1=CC=C(CNC(=O)NC2CCCS(=O)(=O)C2)S1	-5.700000	5.677290	0.217530
13172	Z1530433818	CC=1C=CC(=CN1)C(=O)NC2=NNC=3C=CC(=CC23)[N+]([O-])=O	-6.260000	5.309460	0.217500
13173	Z372503886	O=C(CN1C(=O)COC=2C=CC(Cl)=CC21)NC=3C=NNC3	-5.220000	4.198270	0.217480
13174	Z203182064	CC1CC(=O)NC=2C=CC=CC2N1C(=O)CN(C)C(=O)C=3C=CC(=CC3)N(C)C	-4.570000	5.558300	0.217470
13175	Z90855099	O=C(NC=1C=CC(=CC1)C(=O)NC2=NC(=CS2)C=3C=CC=CN3)C4=CC=CO4	-5.260000	6.353210	0.217440
13176	Z1232315352	CC(C)N1C(CCNC(=O)C2=NNC=3CCCC23)=NC=4C=CC=CC41	-5.950000	6.254190	0.217410
13177	Z2006779103	CC(NC(=O)NCC1=NC=2C=CC=CC2N1C3CC3)C(=O)NCCF	-4.600000	4.550670	0.217330
13178	Z2582964208	COCC=1N=C(C)C=C(N1)N2CCC(O)(CC3=NC(C)=CS3)CC2	-5.540000	5.507270	0.217330
13179	Z151969338	CCNC=1N=C(N=C2C=CC=CC12)SC(C)C(=O)NC(=O)NC	-5.340000	4.600150	0.217320
13180	Z2851756389	N/A	-5.310000	6.315840	0.217280
13181	Z1682289068	FC=1C=CC=CC1CC2=NOC(=N2)C3=CN(CC4=CC=CS4)N=N3	-6.250000	5.450570	0.217180
13182	Z16503701	CC(=O)NC=1SC(C)=C(C)C1C(=O)OCC(=O)NC=2C=CC(C)=C(F)C2	-5.600000	5.453710	0.217090
13183	Z33546913	NC(=O)C=1C=CC=C(C1)S(=O)(=O)NC=2C=C(C=CC2Cl)C(F)(F)F	-5.830000	4.855850	0.217020
13184	Z2386667752	COCC1(CCCN1C(=O)CC(C)(C)C=2C=CC=CC2)C(=O)O	-4.610000	5.107430	0.216980
13185	Z32884307	O=C(NCCC=1C=CC(F)=CC1)C=2C=C(C=CC2Cl)S(=O)(=O)NC=3C=CC(F)=CC3	-6.360000	5.614680	0.216960
13186	Z279098812	CC=1C=CC=CC1CC(=O)NC=2C=CC(=CC2)C(=O)N3CCCC3	-5.990000	5.140560	0.216950
13187	Z284282834	CC=1C=CC(=CC1)OCC2=CC=C(O2)C(=O)NC3=CN=C4C(C=NN4C(C)C)=C3	-6.070000	4.871760	0.216950
13188	Z859624180	CCN1C=C(C=CC1=O)NC(=O)NC2(CCC2)C=3C=CC(F)=CC3	-5.990000	5.544650	0.216950
13189	Z1023345822	CC=1OC(=NC1CCNC(=O)C=2C=CC=C(F)C2F)C=3C=CC=CC3	-5.270000	6.106270	0.216920
13190	Z2160720403	CCN1C=CN=C1[C@@H]2OCC[C@H]2C(=O)N3CCCCC4=C(C=CC=C43)OC	-4.010000	5.819150	0.216910
13191	Z225165090	COC=1C=CC(=CC1)NC(=O)N2CCC=3SC=CC3C2	-5.050000	5.024940	0.216900
13192	Z2625221256	CC=1C=NN(C)C1NC(=O)N2CCC(CC2)C3=NC(=NN3)C=4C=CC=CC4	-5.760000	6.183910	0.216890
13193	Z3299537586	CC(C)(C)C#CC(=O)NC1(CC1)C2CCN(CC2)C(=O)C(C)(C)C3CC3	-6.190000	6.110600	0.216890
13194	Z62901881	O=C(CN1CCN(CC1)C(=O)C2CCCC2)NC=3C=CC(F)=CC3	-5.330000	5.612300	0.216890
13195	Z905305216	NC1=NN2C(=O)C=C(CSC=3C=CC(=CC3)C=4C=CC=CC4)N=C2N1	-6.090000	6.394650	0.216890
13196	Z27010910	CCCN1N=C(C(=O)N(C)CC=2C=CC(F)=CC2)C=3C=CC=CC3C1=O	-4.550000	5.294380	0.216880
13197	Z452323022	O=C(NC=1C=CC=C(C1)OC(F)F)C=2C=CC(=NC2)N3C=CC=N3	-4.820000	5.258770	0.216880
13198	Z106120568	O=C1C=C(CN(CC2=CC=CO2)CC=3C=CC=CC3)N=C4C=CC=CN14	-5.520000	5.523130	0.216830
13199	Z1587676615	CCC1CN2CCCC2CN1CC3=CN4C=CC=NC4=N3	-4.900000	5.448200	0.216820
13200	Z226175990	CC1CCCN(CC2=CSC(=N2)NC(=O)C=3N=CC=NC3N)C1	-5.790000	5.764150	0.216800
13201	Z30927903	COC=1C=C2C(=CC1NC(=O)C(C)C)OC=3C=CC=CC23	-4.900000	5.430990	0.216750
13202	Z1518827397	CCC=1C=CC(CC)=C(C1)NC(=O)N2CCCN(CC2)C(N)=O	-3.200000	4.467920	0.216730
13203	Z1696586323	CC=1C=CC(=C(C)C1NC(=O)C(=O)NC2CCN(CC=3C=CC=CC3)C2)[N+]([O-])=O	-7.160000	5.979260	0.216660
13204	Z28487397	O=C(NC1=CC=CC2=CC=CN=C12)C3CCCC3	-5.260000	5.052830	0.216640
13205	Z915433166	O=C(COC=1C=CC(Cl)=CC1Cl)NC=2C=CC=NC2N3C=NC=N3	-4.760000	4.563120	0.216550
13206	Z1486494531	CC(C)N1C(=O)NC2(CCN(C2)C(=O)NC=3C=CC=C(Cl)C3)C1=O	-5.730000	4.422180	0.216540
13207	Z1983103072	O=C(NC1CCS(=O)(=O)C=2C=CC=CC21)N3CC[C@H]4CCCC[C@H]43	-6.060000	5.274810	0.216540
13208	Z220519664	COC=1C=CC(=CC1NC(C)=O)S(=O)(=O)N2CC=C(CC2)C3=CNC=4C=CC=CC34	-7.040000	6.314080	0.216510
13209	Z3091624637	CN1C(CO)=NN=C1C2CCCN(C2)C3=NC=4C=CC(F)=CC4S3	-5.850000	5.845120	0.216430
13210	Z1991883061	CCOC1CC(NC(=O)C2=CC=3C=CC=CC3S2)(C(=O)O)C1(C)C	-5.000000	5.994140	0.216390
13211	Z1759250900	CC(=O)N(CC=1C=CSC1)C2CC32CCN(CC4=CC=C(C#N)S4)CC3	-5.820000	5.365400	0.216320
13212	Z1686418271	CC(C)(CC1=NC(=NO1)C=2C=CC=NC2OCC(F)F)C=3C=CC=CC3	-4.650000	5.986100	0.216270
13213	Z15400101	CC(C(=O)NC=1C=CC(=CC1)OCC=2C=CC=CC2)N3C(=O)OC4=CC=CC=C43	-6.480000	5.625180	0.216190
13214	Z3026367300	C#CCCC1(CCC(=O)N(C)CC2CN(CC)C3=CC=CC=C3O2)N=N1	-4.790000	5.328380	0.216150
13215	Z873184300	CC(NS(=O)(=O)C=1C=NN(C1)C=2C=CC=CC2)C=3C=CC=NC3	-6.320000	5.943550	0.216130
13216	Z1652394750	CC1OCCC1(C)NC2=NC=C(Cl)C=C2[N+]([O-])=O	-5.350000	5.595150	0.216060
13217	Z1998478504	CNS(=O)(=O)C=1C=CC=CC1S(=O)(=O)NCC=2C=CC=NN2	-5.540000	4.841470	0.216050
13218	Z1343272820	CS(=O)CC=1C=CC(Cl)=C(C1)NCC2=CC(=NO2)C=3C=CC(Cl)=CC3	-6.850000	6.012080	0.216020
13219	Z1951273250	COC1=C(CNCC2(CCC(C)CC2)OC)C(C)=NN1C	-4.760000	5.198910	0.216020
13220	Z2054899926	CO[C@H]1C[C@@H](CO)N(CCC(=O)NCC=2C=CC=CC2Cl)C1	-4.720000	3.585560	0.215880
13221	Z413303858	CC1=CC(C)=NN1C=2C=CC=CC2NC(=O)N3CCN(CC3)C4=CC=CC=C4O	-5.590000	6.480140	0.215870
13222	Z734995888	NC(=O)C=1C=CC=C(C1)CN2N=C(C=C(C2=O)C(F)(F)F)C3CC3	-5.100000	3.856870	0.215850
13223	Z145891924	COC=1C=CC(=CC1)CN(C(=O)CN2C=CC(=O)NC2=O)C3CC3	-5.010000	5.668190	0.215770
13224	Z2384005290	COCC1(CCCN1CC2=NNC=C2C)C(N)=O	-4.790000	5.166240	0.215770
13225	Z2963677357	O=C(NC1(CCOCC1)C=2N=CC=CN2)C3=CC=C4CCCC4=C3	-4.840000	6.244410	0.215730
13226	Z131213808	CCOC=1C=CC=CC1NC(=O)C=2N=C(C)N(N2)C=3C=CC(F)=CC3	-4.480000	4.717030	0.215710
13227	Z2755032895	C#CCCCS(=O)(=O)NC=1N=C2CCCCN2C1C(=O)OC(C)(C)C	-4.830000	5.452570	0.215690
13228	Z819478154	CC(CN1C=CN=C1)NC=2N=CN=C3C2C=NN3C=4C=CC=CC4	-4.630000	6.204580	0.215690
13229	Z1751220097	COC1=CC(=CC(OC)=C1C(C)C)NC(=O)N[C@H]2CCCC[C@@H]2O	-5.340000	4.768740	0.215660
13230	Z2568436487	CC(=O)N1CCC=2SC(=CC2C1)S(=O)(=O)NC3=CC=C(F)C(=C3)C(=O)O	-6.200000	5.138260	0.215620
13231	Z1831756598	CC1=CC(NC(=O)N2CC(C)(C)OC(C)(C)C2)=C(C)C=C1[N+]([O-])=O	-4.970000	4.853370	0.215610
13232	Z4644054324	CN1C=CC(=C1)C(=O)N2CCC3(C2)CCCCC3NC(=O)C4CC4(C)C	-6.270000	6.035930	0.215600
13233	Z2892819904	CN1C(=O)COC=2C=CC(=CC21)NC(=O)C=3C=CN=C(C3)NC4CCC4	-5.800000	5.909010	0.215560
13234	Z90624431	FC=1C=CC=CC1CCNCC2=CN(CC=3C=CC=CC3)N=C2C=4C=CC=NC4	-6.590000	6.496400	0.215560
13235	Z2460731270	COC=1C=CC(=CC1)CCC(=O)N2CCN(CC2)C(=O)C3(CCCC3)C(=O)O	-6.250000	5.587550	0.215550
13236	Z48854040	O=C(O)CC=1SC(=NC1C=2C=CC=CC2)NC=3C=CC=CC3	-5.720000	5.862450	0.215440
13237	Z3380081642	NOC(CC=1C=CC=CC1)C(=O)NCC2CCCN2	-5.140000	4.787730	0.215430
13238	Z1420925838	CC1=NN=C(CC(=O)N2CCCC=3C=C(C=CC32)C=4C=CC=CC4)O1	-6.560000	6.000510	0.215380
13239	Z1548456538	CCN1C(=NC=2C=C(C#N)C=CC21)NC(=O)C=3C=CC=NC3OC	-4.320000	5.583830	0.215330
13240	Z1626713940	O=C(CC(=O)NC=1C=C(NN1)C2CCCCCC2)NCC(F)(F)F	-3.430000	5.241100	0.215320
13241	Z2371344607	CC1=NN=NN1C=2C=C(C=CC2F)NC(=O)NC3CCC4=NN=NN4CC3	-4.870000	5.548190	0.215290
13242	Z2205477451	O=C(O)[C@@H]1CN(C[C@H]1C=2C=CC=CC2)C(=O)C3COC=4C=CC=CC4C3	-6.190000	4.695510	0.215260
13243	Z993971580	COC=1C=CC(=CC1F)CN2C(=O)NC(C)(C2=O)C3=CC=CC(C#N)=C3	-5.180000	5.021770	0.215260
13244	Z1139212441	CC1=NN=C2CN(CCN12)C=3N=C(N=C4C=CC=CC34)C=5C=CN=CC5	-5.530000	6.405550	0.215210
13245	Z2703453587	CC=1C=CC=CC1C2CN(CCC3=CN(C)N=N3)CCO2	-5.780000	5.168750	0.215210
13246	Z71391207	CC=1C=CC=NC1NC(=O)CN2C(=O)NC(C)(C2=O)C=3C=CC4=CC=CC=C4C3	-6.210000	5.525630	0.215200
13247	Z3016334828	CCN1C=NC=C1C2CCCCN2C(=O)NC3=CC=CC(C)=C3F	-5.050000	5.993920	0.215170
13248	Z2582963769	CC1COCCN1C2CCN(CC2)C=3N=CC=CC3[N+]([O-])=O	-4.940000	5.583800	0.215080
13249	Z1345260032	CC1=CSC=C1C(=O)NC2CCN(CC=3C=CC=NC3)CC2	-5.760000	4.963230	0.215070
13250	Z1444205269	CC1=CC=C(S1)C2CC2C(=O)N(CC=3C=CC=CC3)CC(C)C(=O)O	-6.220000	5.280090	0.215020
13251	Z2651062940	CCN(C)C=1C=CC(=CC1)C(=O)NC=2C=CC=CC2C(=O)O	-5.080000	5.176130	0.214990
13252	Z1766253577	CC=1OC(=C(C(=O)NCC2CCC(O2)C(N)=O)C1C)C=3C=CC=CC3	-5.580000	5.420180	0.214950
13253	Z354373224	O=C(NCC(F)(F)F)C1CCN(CC1)C=2N=CN=C3SC=C(C=4C=CC=CC4)C23	-4.130000	6.194430	0.214900
13254	Z338728526	CC1=NN(C)C=2N=CC(=CC12)NC(=O)C=3C=NN(C3C(C)C)C4=CC=CC(Cl)=C4	-6.530000	6.678510	0.214890
13255	Z2500118044	CCC1=NNC(NC(=O)CC=2C(C)=CC(C)=CC2C)=C1C	-5.370000	5.038160	0.214880
13256	Z66760382	CC=1C=CC(=CC1C)N2N=NN=C2SCC(=O)NC=3C=CC=4OCCCOC4C3	-4.220000	6.012730	0.214870
13257	Z2460732019	CC(C)(C(=O)O)C(=O)NC1=CC=C(OCC2=CC=CO2)C(Cl)=C1	-5.100000	4.583300	0.214860
13258	Z246684000	CC1=CC=C(NC(=O)C=2C=CC=C(C2)OCC3CCCO3)C(C)=C1	-5.790000	5.312420	0.214830
