Rank	LigandID	SMILES	AutoDockAffinity(kcal/mol)	GNINAaffinity(kcal/mol)	CNNscore
94	Z2266192300	CC1CC=2C=CC=C(C(=O)NCC3=NC=CS3)C2O1	-4.960000	6.098170	0.887650
95	Z2970643819	COC1=CC=C2N=CC(Cl)=C(NCC3(CO)CCOCC3)C2=C1	-4.950000	7.327760	0.887490
96	Z27332325	O=C(NC1=NC=2CCN(CC=3C=CC=CC3)CC2S1)C=4C=CC=5NC=NC5C4	-6.820000	6.997850	0.887180
97	Z2710899665	CC1=CN(CC(=O)N2CCS(=O)CC2C=3C=NN(C)C3)N=C1C(F)(F)F	-5.510000	6.805720	0.887090
98	Z1248958134	CC1=CC=C(NC(=O)N2CCN3C(=NN=C3C2)C(F)(F)F)C(C)=C1	-4.970000	6.656460	0.886820
99	Z2792930397	N/A	-6.840000	6.878700	0.885860
100	Z2335248704	CC(C)C1N(CC21CCOCC2)C(=O)C=3C=C(NN3)C=4C=CC=CC4	-7.620000	6.565030	0.885840
101	Z748886278	O=C(NC=1C=CC=2NC(=NC2C1)C=3C=C(F)C=CC3F)C=4C=NC=CC4	-6.170000	6.907720	0.885480
102	Z653340898	CC=1C=CC=CC1CC(=O)NC2=NN=C(N2)C=3C=CC=CN3	-6.090000	6.325000	0.885350
103	Z1850217459	CCC=1N=CSC1NC(=O)[C@H]2CCO[C@@H]2C=3C=NN(C3)CC=4C=CC=CC4	-6.090000	7.139880	0.885320
104	Z1459952785	Cl.CN(CC=1C(F)=CC=CC1Cl)C(=O)CN2CCC[C@@H]2C(=O)O	-4.860000	6.177930	0.885100
105	Z57515143	CC=1C=CC=C(C1)OCC2=NC(=NO2)C=3C=CN=CC3	-6.050000	4.877530	0.884600
106	Z3713398363	N/A	-5.670000	5.584110	0.884110
107	Z15685563	NC(=O)C=1C=CC=CC1OCC2=CC(=O)N3C=CSC3=N2	-4.820000	6.472520	0.883970
108	Z2755377850	CC(C)(C(=O)O)C1CCCN(C1)C(=O)CC=2C=CC=3C=NNC3C2	-6.380000	6.906230	0.882810
109	Z1168422665	C=1SC(CC2=CN3C=CC=CC3=N2)=NC1C4CC4	-5.120000	5.406470	0.882530
110	Z362554940	CC1=CC=2C=C(C=CC2N1)NS(=O)(=O)C=3C=CC=C(Cl)C3	-6.280000	6.692240	0.882360
111	Z1427007224	COC=1N=CC(=CC1C(N)=O)NC(=O)C=2C(F)=CC=CC2Cl	-4.760000	6.767020	0.882280
112	Z26888051	CN(CC=1C(F)=CC=CC1Cl)C(=O)C=2C=C(O)N=C3C=CC=CC23	-5.630000	5.945150	0.882000
113	Z54360113	O=C(O)C1CC=2C=CC=CC2CN1C(=O)COC=3C=CC=CC3	-5.480000	5.964890	0.881810
114	Z19755675	O=C(COC=1C=CC=C(F)C1)NC=2C(F)=CC=CC2F	-4.390000	6.459390	0.881570
