SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
CCCC1=CSC(=N1)NC(=O)N2CCOC(C2)C=3C=NN(C3)CC,Z1845708135,349.453,349.453,1.958,-2.971,1,4,72.28,5,https://real.enamine.net/public-enum-files/Z1845708135
CCC1(NC(=O)N(CC2=CC=CN=C2)C1=O)C=3C=NN(C)C3,Z1896892273,299.329,299.329,0.387,-1.38,1,4,80.12,4,https://real.enamine.net/public-enum-files/Z1896892273
CCC=1N=C(C)C=C(N1)N2CCCC2CN3CCCCC3,Z2034499008,288.432,288.432,3.488,-2.024,0,4,32.26,4,https://real.enamine.net/public-enum-files/Z2034499008
C=CCN1CCC(OC2=CC=C3C(C)=CC(=O)OC3=C2)C1=O,Z1983185507,299.322,299.322,2.184,-4.718,0,3,55.84,4,https://real.enamine.net/public-enum-files/Z1983185507
CC(C)(C)C1NC(=O)N(CC(=O)NC=2C=CC=CC2)C1=O,Z1612246782,289.33,289.33,1.973,-3.283,2,3,78.51,5,https://real.enamine.net/public-enum-files/Z1612246782
O=C(NCC=1C=CC=2OCCCOC2C1)C=3C=CNN3,Z1067706492,273.288,273.288,1.879,-2.757,2,4,76.24,4,https://real.enamine.net/public-enum-files/Z1067706492
CC1(C)CCN(CCS1(=O)=O)C(=O)NCC2CC=CCC2,Z1896804987,314.445,314.445,1.575,-3.141,1,3,66.48,4,https://real.enamine.net/public-enum-files/Z1896804987
CCN1C=NC=2C(=NC=NC21)NC[C@@H]3CCO[C@H]3C4=CC=NN4CC,Z1757782934,341.412,341.412,1.401,-2.231,1,6,82.68,6,https://real.enamine.net/public-enum-files/Z1757782934
CC=1C=CC(C)=C(C1)NC(=O)NC2CCC3=NC=NN3C2,Z1244662479,285.345,285.345,1.066,-3.16,2,3,71.84,4,https://real.enamine.net/public-enum-files/Z1244662479
CC=1C=CC(=CC1F)C2=NOC(=N2)C(C)N3CCCN(CC3)C4=CC=CC=N4,Z1680680552,381.448,381.448,3.354,-4.12,0,5,58.29,4,https://real.enamine.net/public-enum-files/Z1680680552
