ligand_id,ligand_id,smiles,predicted_vina_mean,predicted_vina_std,predicted_gnina_mean,predicted_gnina_std,final_score,rank_confidence,mean_rank,std_rank,SA,QED
Z57756803,Z57756803,CCOc1cc(C#N)cc(Br)c1OCC,-4.03316,0.9911545,4.092022,1.372892,-4.5287375,0.0137006878668923,1369328.65,13920.801048341293,2.1134164208677078,0.8436764996886833
Z1201626608,Z1201626608,COc1c(N)cc(F)c(OC)c1F,-4.0197372,1.2021466,4.087987,1.5427259,-4.6208105,0.0176303885907731,1363872.85,27099.395846171552,2.42281441064231,0.7178534782498708
Z368591468,Z368591468,COc1cc2c(c(OC)c1OC)CCNC2,-4.1330595,1.1239238,4.0873,1.2806793,-4.6950216,0.0114117117441566,1372506.55,12987.459195219824,2.334474629194487,0.8395098761631669
Z55292548,Z55292548,CCCCNC(=O)OCC(F)(F)F,-4.67365,0.7558492,4.078824,0.8092941,-5.051574,0.0045665718298699,1382010.0,3816.4173513912233,2.080537487565387,0.7036730006241404
Z299596134,Z299596134,CCOc1ccc(Br)cc1OCC,-4.2647552,0.70023924,4.0780063,1.2038425,-4.614875,0.0072529261353405,1378280.4,6559.541092180153,1.587801288470363,0.8101228760426724
Z56944546,Z56944546,CCOc1ccc(CNC)cc1OC,-4.7518167,1.2043763,4.0774217,1.1729627,-5.354005,0.0075873158785609,1377816.15,11274.698369690428,1.6040379821418416,0.7769486857204698
Z3243515426,Z3243515426,COc1cc(Br)cc(C(F)F)c1OC,-4.3946395,0.85379577,4.0657063,1.4873048,-4.8215375,0.0063495876400042,1379534.55,4819.033061465754,2.290449400660954,0.8350815014943901
Z1671921340,Z1671921340,c1csc(CN2CCCSCC2)c1,-3.9011397,1.5570995,4.06228,1.3605127,-4.6796894,0.0433365505816256,1328183.7,91535.55631561976,2.278453951192258,0.7428936013253291
Z85928741,Z85928741,CNCc1cc(OC)c(OC)cc1C,-4.241423,1.4903848,4.0558863,1.5214828,-4.9866157,0.0197207476500882,1360970.7,37147.50219611004,1.8148591282022597,0.7933329583013257
Z55292546,Z55292546,CC(C)(C)NC(=O)OCC(F)(F)F,-4.835037,0.6124313,4.052359,0.7852014,-5.141253,0.0037418518385133,1383155.0,3505.5240977634144,2.335827730778057,0.701595780006128
Z56889007,Z56889007,COc1cc(C(C)=O)cc(OC)c1OC,-4.134239,0.7239193,4.043417,1.0197055,-4.4961987,0.0089577195952028,1375913.55,8336.538373179841,1.663451964957762,0.7119882449248542
Z594273880,Z594273880,COc1cc(N2CCNCC2)cc(OC)c1OC,-4.1189647,0.5183298,4.040899,0.6551014,-4.3781295,0.0076725969676234,1377697.75,5291.788382720912,2.0100651997475705,0.8696338986259159
Z111479830,Z111479830,CCOc1c(Cl)cc(CO)cc1OC,-4.3426833,0.5764803,4.040868,0.75278217,-4.6309233,0.0068050203478949,1378902.25,5768.384512799055,1.8391299784046886,0.8391561402902262
Z2511829864,Z2511829864,CNc1ccc(OC)c(C#N)c1,-4.9218864,1.2932148,4.037947,1.0999869,-5.568494,0.0055940504915907,1380583.5,8246.120078558157,2.0036758271421036,0.7180753820350116
Z28259401,Z28259401,COc1cc(NC(C)=O)cc(OC)c1OC,-4.6334615,0.54652804,4.0321236,0.758835,-4.9067254,0.0049712608492095,1381448.15,5330.350825930692,1.6679506220388518,0.8464157695284139
Z850796830,Z850796830,CCCN1CCCN(c2nccs2)CC1,-3.662101,1.3863738,4.017213,1.2772275,-4.355288,0.0311524831634674,1345099.45,48573.10081153456,2.103287314608112,0.7847738639882689
Z4913683373,Z4913683373,CC(=O)NCCN1CCCCCC1.O=C(O)C(F)(F)F,-5.563106,2.131829,4.015835,1.3692161,-6.6290207,0.0153453379911405,1367045.3,39891.49226351403,2.025361357521616,0.8306886707967199
Z286407122,Z286407122,CCNc1ccc(OC)c(OC)c1,-4.7590647,0.8310879,4.013097,1.2195052,-5.1746087,0.0041997695105701,1382519.25,3456.822542089773,1.5505743653934427,0.7714980218583455
Z54550648,Z54550648,COc1cc(C#N)ccc1OC(C)C,-4.3412094,1.1147357,3.989593,0.86497724,-4.898577,0.0125068606619367,1370986.1,18369.47059362354,1.8208785614006402,0.7360471551343036
Z756475458,Z756475458,COCC(C)NC(=O)OCC(F)(F)F,-4.9751005,0.94325584,3.987493,0.6919314,-5.446728,0.0035389130982821,1383436.75,3167.4535651687147,2.7552336566114963,0.7686452167172967
Z54604504,Z54604504,CCCOc1ccc(C#N)cc1OC,-4.454285,0.60036623,3.9861588,0.9141553,-4.7544684,0.0068353801274894,1378860.1,7215.681942131318,1.7346072129110741,0.7332007460136457
Z26769888,Z26769888,O=C(NCCc1ccc(F)cc1)c1ccc(I)cc1,-0.7490348,0.80538845,3.9850922e-05,0.7055179,-1.1517291,0.3389298087658011,917796.8,251281.36968816447,1.6285386871142613,0.8229077139278009
Z138799194,Z138799194,CN1CCCN(Cc2cscn2)CC1,-3.9060802,1.5495912,3.9846566,1.3451239,-4.680876,0.0385433788309863,1334838.3,85620.75790315104,2.266277959050486,0.7344221768578648
